rate_date,file_path,row_count,currencies
2026-01-15,fx_daily/2026/01/fx_20260115.csv,2,EUR|USD
2026-01-16,fx_daily/2026/01/fx_20260116.csv,2,EUR|USD
2026-01-19,fx_daily/2026/01/fx_20260119.csv,2,EUR|USD
2026-01-20,fx_daily/2026/01/fx_20260120.csv,2,EUR|USD
2026-01-21,fx_daily/2026/01/fx_20260121.csv,2,EUR|USD
2026-01-22,fx_daily/2026/01/fx_20260122.csv,2,EUR|USD
2026-01-23,fx_daily/2026/01/fx_20260123.csv,2,EUR|USD
2026-01-26,fx_daily/2026/01/fx_20260126.csv,2,EUR|USD
2026-01-27,fx_daily/2026/01/fx_20260127.csv,2,EUR|USD
2026-01-28,fx_daily/2026/01/fx_20260128.csv,2,EUR|USD
2026-01-29,fx_daily/2026/01/fx_20260129.csv,2,EUR|USD
2026-01-30,fx_daily/2026/01/fx_20260130.csv,2,EUR|USD
2026-02-02,fx_daily/2026/02/fx_20260202.csv,2,EUR|USD
2026-02-03,fx_daily/2026/02/fx_20260203.csv,2,EUR|USD
2026-02-04,fx_daily/2026/02/fx_20260204.csv,2,EUR|USD
2026-02-05,fx_daily/2026/02/fx_20260205.csv,2,EUR|USD
2026-02-06,fx_daily/2026/02/fx_20260206.csv,2,EUR|USD
2026-02-09,fx_daily/2026/02/fx_20260209.csv,2,EUR|USD
2026-02-10,fx_daily/2026/02/fx_20260210.csv,2,EUR|USD
2026-02-11,fx_daily/2026/02/fx_20260211.csv,2,EUR|USD
2026-02-12,fx_daily/2026/02/fx_20260212.csv,2,EUR|USD
2026-02-13,fx_daily/2026/02/fx_20260213.csv,2,EUR|USD
2026-02-16,fx_daily/2026/02/fx_20260216.csv,2,EUR|USD
2026-02-17,fx_daily/2026/02/fx_20260217.csv,2,EUR|USD
2026-02-18,fx_daily/2026/02/fx_20260218.csv,2,EUR|USD
2026-02-19,fx_daily/2026/02/fx_20260219.csv,2,EUR|USD
2026-02-20,fx_daily/2026/02/fx_20260220.csv,2,EUR|USD
2026-02-23,fx_daily/2026/02/fx_20260223.csv,2,EUR|USD
2026-02-24,fx_daily/2026/02/fx_20260224.csv,2,EUR|USD
2026-02-25,fx_daily/2026/02/fx_20260225.csv,2,EUR|USD
2026-02-26,fx_daily/2026/02/fx_20260226.csv,2,EUR|USD
2026-02-27,fx_daily/2026/02/fx_20260227.csv,2,EUR|USD
2026-03-02,fx_daily/2026/03/fx_20260302.csv,2,EUR|USD
2026-03-04,fx_daily/2026/03/fx_20260304.csv,2,EUR|USD
2026-03-05,fx_daily/2026/03/fx_20260305.csv,2,EUR|USD
2026-03-06,fx_daily/2026/03/fx_20260306.csv,2,EUR|USD
2026-03-09,fx_daily/2026/03/fx_20260309.csv,2,EUR|USD
2026-03-10,fx_daily/2026/03/fx_20260310.csv,2,EUR|USD
2026-03-11,fx_daily/2026/03/fx_20260311.csv,2,EUR|USD
2026-03-12,fx_daily/2026/03/fx_20260312.csv,2,EUR|USD
2026-03-13,fx_daily/2026/03/fx_20260313.csv,2,EUR|USD
2026-03-16,fx_daily/2026/03/fx_20260316.csv,2,EUR|USD
2026-03-17,fx_daily/2026/03/fx_20260317.csv,2,EUR|USD
2026-03-18,fx_daily/2026/03/fx_20260318.csv,2,EUR|USD
2026-03-19,fx_daily/2026/03/fx_20260319.csv,2,EUR|USD
2026-03-20,fx_daily/2026/03/fx_20260320.csv,2,EUR|USD
2026-03-23,fx_daily/2026/03/fx_20260323.csv,2,EUR|USD
2026-03-24,fx_daily/2026/03/fx_20260324.csv,2,EUR|USD
2026-03-25,fx_daily/2026/03/fx_20260325.csv,2,EUR|USD
2026-03-26,fx_daily/2026/03/fx_20260326.csv,2,EUR|USD
2026-03-27,fx_daily/2026/03/fx_20260327.csv,2,EUR|USD
2026-03-30,fx_daily/2026/03/fx_20260330.csv,2,EUR|USD
2026-03-31,fx_daily/2026/03/fx_20260331.csv,2,EUR|USD
2026-04-01,fx_daily/2026/04/fx_20260401.csv,2,EUR|USD
2026-04-02,fx_daily/2026/04/fx_20260402.csv,2,EUR|USD
2026-04-03,fx_daily/2026/04/fx_20260403.csv,2,EUR|USD
2026-04-07,fx_daily/2026/04/fx_20260407.csv,2,EUR|USD
2026-04-08,fx_daily/2026/04/fx_20260408.csv,2,EUR|USD
2026-04-09,fx_daily/2026/04/fx_20260409.csv,2,EUR|USD
2026-04-10,fx_daily/2026/04/fx_20260410.csv,2,EUR|USD
2026-04-16,fx_daily/2026/04/fx_20260416.csv,2,EUR|USD
2026-04-17,fx_daily/2026/04/fx_20260417.csv,2,EUR|USD
2026-04-20,fx_daily/2026/04/fx_20260420.csv,2,EUR|USD
2026-04-21,fx_daily/2026/04/fx_20260421.csv,2,EUR|USD
2026-04-22,fx_daily/2026/04/fx_20260422.csv,2,EUR|USD
2026-04-23,fx_daily/2026/04/fx_20260423.csv,2,EUR|USD
2026-04-24,fx_daily/2026/04/fx_20260424.csv,2,EUR|USD
2026-04-27,fx_daily/2026/04/fx_20260427.csv,2,EUR|USD
2026-04-28,fx_daily/2026/04/fx_20260428.csv,2,EUR|USD
2026-04-29,fx_daily/2026/04/fx_20260429.csv,2,EUR|USD
2026-04-30,fx_daily/2026/04/fx_20260430.csv,2,EUR|USD
2026-05-05,fx_daily/2026/05/fx_20260505.csv,2,EUR|USD
2026-05-06,fx_daily/2026/05/fx_20260506.csv,2,EUR|USD
2026-05-07,fx_daily/2026/05/fx_20260507.csv,2,EUR|USD
2026-05-08,fx_daily/2026/05/fx_20260508.csv,2,EUR|USD
2026-05-11,fx_daily/2026/05/fx_20260511.csv,2,EUR|USD
2026-05-12,fx_daily/2026/05/fx_20260512.csv,2,EUR|USD
2026-05-13,fx_daily/2026/05/fx_20260513.csv,2,EUR|USD
